"round","12_iid_q0.01 - _step","12_iid_q0.01 - _step__MIN","12_iid_q0.01 - _step__MAX","12_iid_q0.01 - length_unique","12_iid_q0.01 - length_unique__MIN","12_iid_q0.01 - length_unique__MAX","12_iid_q0.1 - _step","12_iid_q0.1 - _step__MIN","12_iid_q0.1 - _step__MAX","12_iid_q0.1 - length_unique","12_iid_q0.1 - length_unique__MIN","12_iid_q0.1 - length_unique__MAX","12_iid_q0.5 - _step","12_iid_q0.5 - _step__MIN","12_iid_q0.5 - _step__MAX","12_iid_q0.5 - length_unique","12_iid_q0.5 - length_unique__MIN","12_iid_q0.5 - length_unique__MAX","8_iid_q0.01 - _step","8_iid_q0.01 - _step__MIN","8_iid_q0.01 - _step__MAX","8_iid_q0.01 - length_unique","8_iid_q0.01 - length_unique__MIN","8_iid_q0.01 - length_unique__MAX","8_iid_q0.1 - _step","8_iid_q0.1 - _step__MIN","8_iid_q0.1 - _step__MAX","8_iid_q0.1 - length_unique","8_iid_q0.1 - length_unique__MIN","8_iid_q0.1 - length_unique__MAX","8_iid_q0.5 - _step","8_iid_q0.5 - _step__MIN","8_iid_q0.5 - _step__MAX","8_iid_q0.5 - length_unique","8_iid_q0.5 - length_unique__MIN","8_iid_q0.5 - length_unique__MAX","4_iid_q0.01 - _step","4_iid_q0.01 - _step__MIN","4_iid_q0.01 - _step__MAX","4_iid_q0.01 - length_unique","4_iid_q0.01 - length_unique__MIN","4_iid_q0.01 - length_unique__MAX","4_iid_q0.1 - _step","4_iid_q0.1 - _step__MIN","4_iid_q0.1 - _step__MAX","4_iid_q0.1 - length_unique","4_iid_q0.1 - length_unique__MIN","4_iid_q0.1 - length_unique__MAX","4_iid,q0.5 - _step","4_iid,q0.5 - _step__MIN","4_iid,q0.5 - _step__MAX","4_iid,q0.5 - length_unique","4_iid,q0.5 - length_unique__MIN","4_iid,q0.5 - length_unique__MAX"
"0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0"
"1","5","5","5","180","180","180","5","5","5","1546","1546","1546","5","5","5","6426","6426","6426","5","5","5","136","136","136","5","5","5","1364","1364","1364","5","5","5","6180","6180","6180","5","5","5","103","103","103","5","5","5","1164","1164","1164","5","5","5","5571","5571","5571"
"2","9","9","9","294","294","294","9","9","9","2750","2750","2750","9","9","9","6845","6845","6845","9","9","9","218","218","218","9","9","9","2304","2304","2304","9","9","9","6768","6768","6768","9","9","9","145","145","145","9","9","9","1666","1666","1666","9","9","9","6431","6431","6431"
"3","13","13","13","433","433","433","13","13","13","3822","3822","3822","13","13","13","6901","6901","6901","13","13","13","311","311","311","13","13","13","3131","3131","3131","13","13","13","6844","6844","6844","13","13","13","187","187","187","13","13","13","2092","2092","2092","13","13","13","6452","6452","6452"
"4","17","17","17","505","505","505","17","17","17","4416","4416","4416","17","17","17","6942","6942","6942","17","17","17","355","355","355","17","17","17","3657","3657","3657","17","17","17","6927","6927","6927","17","17","17","228","228","228","17","17","17","2308","2308","2308","17","17","17","6511","6511","6511"
"5","21","21","21","610","610","610","21","21","21","4706","4706","4706","21","21","21","7009","7009","7009","21","21","21","444","444","444","21","21","21","3797","3797","3797","21","21","21","6914","6914","6914","21","21","21","234","234","234","21","21","21","2384","2384","2384","21","21","21","6446","6446","6446"
"6","25","25","25","655","655","655","25","25","25","4615","4615","4615","25","25","25","7008","7008","7008","25","25","25","435","435","435","25","25","25","3865","3865","3865","25","25","25","6890","6890","6890","25","25","25","262","262","262","25","25","25","2462","2462","2462","25","25","25","6419","6419","6419"
"7","29","29","29","661","661","661","29","29","29","4794","4794","4794","29","29","29","6983","6983","6983","29","29","29","481","481","481","29","29","29","3862","3862","3862","29","29","29","6837","6837","6837","29","29","29","257","257","257","29","29","29","2483","2483","2483","29","29","29","6376","6376","6376"
"8","33","33","33","697","697","697","33","33","33","4792","4792","4792","33","33","33","6944","6944","6944","33","33","33","506","506","506","33","33","33","3933","3933","3933","33","33","33","6818","6818","6818","33","33","33","268","268","268","33","33","33","2489","2489","2489","33","33","33","6405","6405","6405"
"9","37","37","37","764","764","764","37","37","37","4782","4782","4782","37","37","37","6908","6908","6908","37","37","37","526","526","526","37","37","37","3864","3864","3864","37","37","37","6803","6803","6803","37","37","37","292","292","292","37","37","37","2461","2461","2461","37","37","37","6395","6395","6395"
