"round","strict_12_q0.01 - _step","strict_12_q0.01 - _step__MIN","strict_12_q0.01 - _step__MAX","strict_12_q0.01 - length_unique","strict_12_q0.01 - length_unique__MIN","strict_12_q0.01 - length_unique__MAX","strict_12_q0.1 - _step","strict_12_q0.1 - _step__MIN","strict_12_q0.1 - _step__MAX","strict_12_q0.1 - length_unique","strict_12_q0.1 - length_unique__MIN","strict_12_q0.1 - length_unique__MAX","strict_12_q0.5 - _step","strict_12_q0.5 - _step__MIN","strict_12_q0.5 - _step__MAX","strict_12_q0.5 - length_unique","strict_12_q0.5 - length_unique__MIN","strict_12_q0.5 - length_unique__MAX","strict_8_q0.01 - _step","strict_8_q0.01 - _step__MIN","strict_8_q0.01 - _step__MAX","strict_8_q0.01 - length_unique","strict_8_q0.01 - length_unique__MIN","strict_8_q0.01 - length_unique__MAX","strict_8_q0.1 - _step","strict_8_q0.1 - _step__MIN","strict_8_q0.1 - _step__MAX","strict_8_q0.1 - length_unique","strict_8_q0.1 - length_unique__MIN","strict_8_q0.1 - length_unique__MAX","strict_8_q0.5 - _step","strict_8_q0.5 - _step__MIN","strict_8_q0.5 - _step__MAX","strict_8_q0.5 - length_unique","strict_8_q0.5 - length_unique__MIN","strict_8_q0.5 - length_unique__MAX","strict_4_q0.01 - _step","strict_4_q0.01 - _step__MIN","strict_4_q0.01 - _step__MAX","strict_4_q0.01 - length_unique","strict_4_q0.01 - length_unique__MIN","strict_4_q0.01 - length_unique__MAX","strict_4_q0.1 - _step","strict_4_q0.1 - _step__MIN","strict_4_q0.1 - _step__MAX","strict_4_q0.1 - length_unique","strict_4_q0.1 - length_unique__MIN","strict_4_q0.1 - length_unique__MAX","strict_4_q0.5 - _step","strict_4_q0.5 - _step__MIN","strict_4_q0.5 - _step__MAX","strict_4_q0.5 - length_unique","strict_4_q0.5 - length_unique__MIN","strict_4_q0.5 - length_unique__MAX"
"0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0"
"1","5","5","5","353","353","353","5","5","5","2670","2670","2670","5","5","5","6315","6315","6315","5","5","5","325","325","325","5","5","5","2538","2538","2538","5","5","5","6171","6171","6171","5","5","5","281","281","281","5","5","5","2305","2305","2305","5","5","5","5947","5947","5947"
"2","9","9","9","480","480","480","9","9","9","3293","3293","3293","9","9","9","6517","6517","6517","9","9","9","399","399","399","9","9","9","2926","2926","2926","9","9","9","6371","6371","6371","9","9","9","281","281","281","9","9","9","2377","2377","2377","9","9","9","6129","6129","6129"
"3","13","13","13","532","532","532","13","13","13","3428","3428","3428","13","13","13","6497","6497","6497","13","13","13","412","412","412","13","13","13","3084","3084","3084","13","13","13","6356","6356","6356","13","13","13","279","279","279","13","13","13","2377","2377","2377","13","13","13","5999","5999","5999"
"4","17","17","17","589","589","589","17","17","17","3813","3813","3813","17","17","17","6508","6508","6508","17","17","17","453","453","453","17","17","17","3228","3228","3228","17","17","17","6360","6360","6360","17","17","17","290","290","290","17","17","17","2422","2422","2422","17","17","17","6020","6020","6020"
"5","21","21","21","637","637","637","21","21","21","3855","3855","3855","21","21","21","6546","6546","6546","21","21","21","464","464","464","21","21","21","3375","3375","3375","21","21","21","6424","6424","6424","21","21","21","290","290","290","21","21","21","2456","2456","2456","21","21","21","6122","6122","6122"
"6","25","25","25","636","636","636","25","25","25","3846","3846","3846","25","25","25","6564","6564","6564","25","25","25","498","498","498","25","25","25","3323","3323","3323","25","25","25","6438","6438","6438","25","25","25","288","288","288","25","25","25","2420","2420","2420","25","25","25","6068","6068","6068"
"7","29","29","29","642","642","642","29","29","29","4275","4275","4275","29","29","29","6594","6594","6594","29","29","29","485","485","485","29","29","29","3570","3570","3570","29","29","29","6456","6456","6456","29","29","29","291","291","291","29","29","29","2517","2517","2517","29","29","29","6102","6102","6102"
"8","33","33","33","671","671","671","33","33","33","4105","4105","4105","33","33","33","6581","6581","6581","33","33","33","489","489","489","33","33","33","3478","3478","3478","33","33","33","6475","6475","6475","33","33","33","295","295","295","33","33","33","2510","2510","2510","33","33","33","6144","6144","6144"
"9","37","37","37","662","662","662","37","37","37","4154","4154","4154","37","37","37","6620","6620","6620","37","37","37","509","509","509","37","37","37","3583","3583","3583","37","37","37","6504","6504","6504","37","37","37","300","300","300","37","37","37","2488","2488","2488","37","37","37","6151","6151","6151"
"10","41","41","41","678","678","678","41","41","41","4300","4300","4300","41","41","41","6665","6665","6665","41","41","41","508","508","508","41","41","41","3576","3576","3576","41","41","41","6500","6500","6500","41","41","41","282","282","282","41","41","41","2490","2490","2490","41","41","41","6123","6123","6123"
"11","45","45","45","700","700","700","45","45","45","4327","4327","4327","45","45","45","6657","6657","6657","45","45","45","516","516","516","45","45","45","3653","3653","3653","45","45","45","6532","6532","6532","45","45","45","302","302","302","45","45","45","2512","2512","2512","45","45","45","6134","6134","6134"
"12","49","49","49","733","733","733","49","49","49","4298","4298","4298","49","49","49","6665","6665","6665","49","49","49","543","543","543","49","49","49","3599","3599","3599","49","49","49","6516","6516","6516","49","49","49","300","300","300","49","49","49","2466","2466","2466","49","49","49","6090","6090","6090"
"13","53","53","53","703","703","703","53","53","53","4391","4391","4391","53","53","53","6681","6681","6681","53","53","53","525","525","525","53","53","53","3671","3671","3671","53","53","53","6521","6521","6521","53","53","53","296","296","296","53","53","53","2489","2489","2489","53","53","53","6105","6105","6105"
"14","57","57","57","727","727","727","57","57","57","4349","4349","4349","57","57","57","6677","6677","6677","57","57","57","507","507","507","57","57","57","3620","3620","3620","57","57","57","6539","6539","6539","57","57","57","293","293","293","57","57","57","2463","2463","2463","57","57","57","6118","6118","6118"
"15","61","61","61","737","737","737","61","61","61","4389","4389","4389","61","61","61","6691","6691","6691","61","61","61","530","530","530","61","61","61","3674","3674","3674","61","61","61","6510","6510","6510","61","61","61","297","297","297","61","61","61","2495","2495","2495","61","61","61","6084","6084","6084"
"16","65","65","65","722","722","722","65","65","65","4397","4397","4397","65","65","65","6676","6676","6676","65","65","65","527","527","527","65","65","65","3702","3702","3702","65","65","65","6534","6534","6534","65","65","65","301","301","301","65","65","65","2501","2501","2501","65","65","65","6132","6132","6132"
"17","69","69","69","756","756","756","69","69","69","4374","4374","4374","69","69","69","6735","6735","6735","69","69","69","551","551","551","69","69","69","3666","3666","3666","69","69","69","6570","6570","6570","69","69","69","303","303","303","69","69","69","2518","2518","2518","69","69","69","6078","6078","6078"
"18","73","73","73","741","741","741","73","73","73","4368","4368","4368","73","73","73","6745","6745","6745","73","73","73","537","537","537","73","73","73","3675","3675","3675","73","73","73","6561","6561","6561","73","73","73","300","300","300","73","73","73","2470","2470","2470","73","73","73","6148","6148","6148"
"19","77","77","77","784","784","784","77","77","77","4422","4422","4422","77","77","77","6717","6717","6717","77","77","77","554","554","554","77","77","77","3741","3741","3741","77","77","77","6523","6523","6523","77","77","77","295","295","295","77","77","77","2498","2498","2498","77","77","77","6069","6069","6069"
