"round","***6,q=0.5,niid - _step","***6,q=0.5,niid - _step__MIN","***6,q=0.5,niid - _step__MAX","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar__MAX","***6,q=0.1,niid - _step","***6,q=0.1,niid - _step__MIN","***6,q=0.1,niid - _step__MAX","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MAX","***6,q=0.01,niid - _step","***6,q=0.01,niid - _step__MIN","***6,q=0.01,niid - _step__MAX","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar__MAX","***4,q=0.1,niid - _step","***4,q=0.1,niid - _step__MIN","***4,q=0.1,niid - _step__MAX","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MIN","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MAX","***4, q=0.01,niid - _step","***4, q=0.01,niid - _step__MIN","***4, q=0.01,niid - _step__MAX","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar__MIN","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar__MAX","***4, q=0.5, niid - _step","***4, q=0.5, niid - _step__MIN","***4, q=0.5, niid - _step__MAX","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar__MIN","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","3","3","3","2096496.5581017195","2096496.5581017195","2096496.5581017195","3","3","3","480173.0345742167","480173.0345742167","480173.0345742167","3","3","3","49086.74828686913","49086.74828686913","49086.74828686913","3","3","3","360533.7029345905","360533.7029345905","360533.7029345905","3","3","3","36699.65349974385","36699.65349974385","36699.65349974385","3","3","3","1450213.351816922","1450213.351816922","1450213.351816922"
"2","6","6","6","2173819.727425079","2173819.727425079","2173819.727425079","6","6","6","559265.7888671657","559265.7888671657","559265.7888671657","6","6","6","61243.027643178415","61243.027643178415","61243.027643178415","6","6","6","375844.4598453851","375844.4598453851","375844.4598453851","6","6","6","40238.8234389225","40238.8234389225","40238.8234389225","6","6","6","1430670.9786745007","1430670.9786745007","1430670.9786745007"
"3","9","9","9","2199594.117199532","2199594.117199532","2199594.117199532","9","9","9","578269.5926710163","578269.5926710163","578269.5926710163","9","9","9","67859.73665990372","67859.73665990372","67859.73665990372","9","9","9","378075.6756766065","378075.6756766065","378075.6756766065","9","9","9","42162.28536238916","42162.28536238916","42162.28536238916","9","9","9","1427516.5011200155","1427516.5011200155","1427516.5011200155"
"4","12","12","12","2208903.672909111","2208903.672909111","2208903.672909111","12","12","12","621739.8321413628","621739.8321413628","621739.8321413628","12","12","12","70244.82944500238","70244.82944500238","70244.82944500238","12","12","12","389308.69330965175","389308.69330965175","389308.69330965175","12","12","12","41623.716023818495","41623.716023818495","41623.716023818495","12","12","12","1431901.9943055194","1431901.9943055194","1431901.9943055194"
"5","15","15","15","2226368.7071741885","2226368.7071741885","2226368.7071741885","15","15","15","642897.913299496","642897.913299496","642897.913299496","15","15","15","70937.27573745037","70937.27573745037","70937.27573745037","15","15","15","398618.24901923037","398618.24901923037","398618.24901923037","15","15","15","42239.223839327824","42239.223839327824","42239.223839327824","15","15","15","1433363.825367354","1433363.825367354","1433363.825367354"
"6","18","18","18","2223752.7989582736","2223752.7989582736","2223752.7989582736","18","18","18","637204.4660060348","637204.4660060348","637204.4660060348","18","18","18","70475.64487581838","70475.64487581838","70475.64487581838","18","18","18","398233.55663453706","398233.55663453706","398233.55663453706","18","18","18","42854.73165483716","42854.73165483716","42854.73165483716","18","18","18","1430978.7325822555","1430978.7325822555","1430978.7325822555"
"7","21","21","21","2216212.828218284","2216212.828218284","2216212.828218284","21","21","21","666056.3948580346","666056.3948580346","666056.3948580346","21","21","21","74245.63024581302","74245.63024581302","74245.63024581302","21","21","21","398849.0644500464","398849.0644500464","398849.0644500464","21","21","21","42393.10079320516","42393.10079320516","42393.10079320516","21","21","21","1427131.8087353222","1427131.8087353222","1427131.8087353222"
"8","24","24","24","2216597.520602978","2216597.520602978","2216597.520602978","24","24","24","671211.2728129253","671211.2728129253","671211.2728129253","24","24","24","71860.53746071437","71860.53746071437","71860.53746071437","24","24","24","407696.989297993","407696.989297993","407696.989297993","24","24","24","43470.23947034649","43470.23947034649","43470.23947034649","24","24","24","1424285.0850885916","1424285.0850885916","1424285.0850885916"
"9","27","27","27","2215905.0743105295","2215905.0743105295","2215905.0743105295","27","27","27","668441.4876431333","668441.4876431333","668441.4876431333","27","27","27","77015.41541560502","77015.41541560502","77015.41541560502","27","27","27","402772.9267739183","402772.9267739183","402772.9267739183","27","27","27","42931.67013177583","42931.67013177583","42931.67013177583","27","27","27","1422053.8692573702","1422053.8692573702","1422053.8692573702"
