2024-10-23 19:26:25,500 INFO    MainThread:21448 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_setup.py:_flush():79] Configure stats pid to 21448
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_setup.py:_flush():79] Loading settings from /Users/souravmukherjee/.config/wandb/settings
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_setup.py:_flush():79] Loading settings from /Users/souravmukherjee/Desktop/PhD - Uni Bremen/PhD_Year1/Codes/Incremental Aggregation/My Code v.2/fedml_experiments/standalone/fedavg/wandb/settings
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'main_fedavg.py', 'program_abspath': '/Users/souravmukherjee/Desktop/PhD - Uni Bremen/PhD_Year1/Codes/Incremental Aggregation/My Code v.2/fedml_experiments/standalone/fedavg/main_fedavg.py', 'program': '/Users/souravmukherjee/Desktop/PhD - Uni Bremen/PhD_Year1/Codes/Incremental Aggregation/My Code v.2/fedml_experiments/standalone/fedavg/./main_fedavg.py'}
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_init.py:_log_setup():532] Logging user logs to /Users/souravmukherjee/Desktop/PhD - Uni Bremen/PhD_Year1/Codes/Incremental Aggregation/My Code v.2/fedml_experiments/standalone/fedavg/wandb/run-20241023_192625-819uvfec/logs/debug.log
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/souravmukherjee/Desktop/PhD - Uni Bremen/PhD_Year1/Codes/Incremental Aggregation/My Code v.2/fedml_experiments/standalone/fedavg/wandb/run-20241023_192625-819uvfec/logs/debug-internal.log
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_init.py:init():617] calling init triggers
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {'model': 'lr', 'dataset': 'mnist', 'data_dir': './../../../data/mnist', 'spar_ratio': 0.01, 'partition_method': 'hetero', 'batch_size': 10, 'client_optimizer': 'sgd', 'lr': 0.1, 'wd': 0.0, 'epochs': 5, 'client_num_in_total': 8, 'client_num_per_round': 8, 'comm_round': 20, 'frequency_of_the_test': 1, 'gpu': 1, 'ci': 0}
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_init.py:init():667] starting backend
2024-10-23 19:26:25,501 INFO    MainThread:21448 [wandb_init.py:init():671] sending inform_init request
2024-10-23 19:26:25,503 INFO    MainThread:21448 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-10-23 19:26:25,503 INFO    MainThread:21448 [wandb_init.py:init():684] backend started and connected
2024-10-23 19:26:25,507 INFO    MainThread:21448 [wandb_init.py:init():779] updated telemetry
2024-10-23 19:26:25,508 INFO    MainThread:21448 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-23 19:26:25,822 INFO    MainThread:21448 [wandb_init.py:init():863] starting run threads in backend
2024-10-23 19:26:26,100 INFO    MainThread:21448 [wandb_run.py:_console_start():2465] atexit reg
2024-10-23 19:26:26,101 INFO    MainThread:21448 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-23 19:26:26,101 INFO    MainThread:21448 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-23 19:26:26,101 INFO    MainThread:21448 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-23 19:26:26,102 INFO    MainThread:21448 [wandb_init.py:init():907] run started, returning control to user process
2024-10-23 19:26:58,952 WARNING MsgRouterThr:21448 [router.py:message_loop():77] message_loop has been closed
