"round","niid,12,q_0.01 - _step","niid,12,q_0.01 - _step__MIN","niid,12,q_0.01 - _step__MAX","niid,12,q_0.01 - length_unique","niid,12,q_0.01 - length_unique__MIN","niid,12,q_0.01 - length_unique__MAX","niid,12,q_0.1 - _step","niid,12,q_0.1 - _step__MIN","niid,12,q_0.1 - _step__MAX","niid,12,q_0.1 - length_unique","niid,12,q_0.1 - length_unique__MIN","niid,12,q_0.1 - length_unique__MAX","niid,12,q_0.5 - _step","niid,12,q_0.5 - _step__MIN","niid,12,q_0.5 - _step__MAX","niid,12,q_0.5 - length_unique","niid,12,q_0.5 - length_unique__MIN","niid,12,q_0.5 - length_unique__MAX","niid,8,q_0.01 - _step","niid,8,q_0.01 - _step__MIN","niid,8,q_0.01 - _step__MAX","niid,8,q_0.01 - length_unique","niid,8,q_0.01 - length_unique__MIN","niid,8,q_0.01 - length_unique__MAX","niid,8,q_0.1 - _step","niid,8,q_0.1 - _step__MIN","niid,8,q_0.1 - _step__MAX","niid,8,q_0.1 - length_unique","niid,8,q_0.1 - length_unique__MIN","niid,8,q_0.1 - length_unique__MAX","niid,8,q_0.5 - _step","niid,8,q_0.5 - _step__MIN","niid,8,q_0.5 - _step__MAX","niid,8,q_0.5 - length_unique","niid,8,q_0.5 - length_unique__MIN","niid,8,q_0.5 - length_unique__MAX","niid,4,q_0.01 - _step","niid,4,q_0.01 - _step__MIN","niid,4,q_0.01 - _step__MAX","niid,4,q_0.01 - length_unique","niid,4,q_0.01 - length_unique__MIN","niid,4,q_0.01 - length_unique__MAX","niid,4,q_0.1 - _step","niid,4,q_0.1 - _step__MIN","niid,4,q_0.1 - _step__MAX","niid,4,q_0.1 - length_unique","niid,4,q_0.1 - length_unique__MIN","niid,4,q_0.1 - length_unique__MAX","niid,4,q_0.5 - _step","niid,4,q_0.5 - _step__MIN","niid,4,q_0.5 - _step__MAX","niid,4,q_0.5 - length_unique","niid,4,q_0.5 - length_unique__MIN","niid,4,q_0.5 - length_unique__MAX"
"0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0"
"1","5","5","5","232","232","232","5","5","5","2052","2052","2052","5","5","5","6281","6281","6281","5","5","5","214","214","214","5","5","5","1885","1885","1885","5","5","5","6124","6124","6124","5","5","5","174","174","174","5","5","5","1665","1665","1665","5","5","5","5748","5748","5748"
"2","9","9","9","404","404","404","9","9","9","2789","2789","2789","9","9","9","6494","6494","6494","9","9","9","306","306","306","9","9","9","2431","2431","2431","9","9","9","6292","6292","6292","9","9","9","216","216","216","9","9","9","1910","1910","1910","9","9","9","5739","5739","5739"
"3","13","13","13","488","488","488","13","13","13","2994","2994","2994","13","13","13","6556","6556","6556","13","13","13","367","367","367","13","13","13","2537","2537","2537","13","13","13","6293","6293","6293","13","13","13","239","239","239","13","13","13","1942","1942","1942","13","13","13","5769","5769","5769"
"4","17","17","17","504","504","504","17","17","17","3504","3504","3504","17","17","17","6556","6556","6556","17","17","17","390","390","390","17","17","17","2898","2898","2898","17","17","17","6336","6336","6336","17","17","17","235","235","235","17","17","17","2073","2073","2073","17","17","17","5780","5780","5780"
"5","21","21","21","526","526","526","21","21","21","3722","3722","3722","21","21","21","6618","6618","6618","21","21","21","392","392","392","21","21","21","3097","3097","3097","21","21","21","6431","6431","6431","21","21","21","244","244","244","21","21","21","2171","2171","2171","21","21","21","5797","5797","5797"
"6","25","25","25","562","562","562","25","25","25","3513","3513","3513","25","25","25","6664","6664","6664","25","25","25","413","413","413","25","25","25","3013","3013","3013","25","25","25","6406","6406","6406","25","25","25","249","249","249","25","25","25","2161","2161","2161","25","25","25","5785","5785","5785"
"7","29","29","29","581","581","581","29","29","29","3964","3964","3964","29","29","29","6613","6613","6613","29","29","29","429","429","429","29","29","29","3242","3242","3242","29","29","29","6420","6420","6420","29","29","29","244","244","244","29","29","29","2194","2194","2194","29","29","29","5771","5771","5771"
"8","33","33","33","598","598","598","33","33","33","3994","3994","3994","33","33","33","6617","6617","6617","33","33","33","460","460","460","33","33","33","3329","3329","3329","33","33","33","6390","6390","6390","33","33","33","256","256","256","33","33","33","2294","2294","2294","33","33","33","5742","5742","5742"
"9","37","37","37","599","599","599","37","37","37","3879","3879","3879","37","37","37","6650","6650","6650","37","37","37","436","436","436","37","37","37","3228","3228","3228","37","37","37","6403","6403","6403","37","37","37","253","253","253","37","37","37","2217","2217","2217","37","37","37","5721","5721","5721"
"10","41","41","41","644","644","644","41","41","41","4043","4043","4043","41","41","41","6670","6670","6670","41","41","41","450","450","450","41","41","41","3353","3353","3353","41","41","41","6397","6397","6397","41","41","41","267","267","267","41","41","41","2278","2278","2278","41","41","41","5743","5743","5743"
"11","45","45","45","633","633","633","45","45","45","4103","4103","4103","45","45","45","6661","6661","6661","45","45","45","467","467","467","45","45","45","3433","3433","3433","45","45","45","6382","6382","6382","45","45","45","274","274","274","45","45","45","2303","2303","2303","45","45","45","5688","5688","5688"
"12","49","49","49","633","633","633","49","49","49","3977","3977","3977","49","49","49","6671","6671","6671","49","49","49","446","446","446","49","49","49","3323","3323","3323","49","49","49","6353","6353","6353","49","49","49","256","256","256","49","49","49","2260","2260","2260","49","49","49","5694","5694","5694"
"13","53","53","53","649","649","649","53","53","53","4146","4146","4146","53","53","53","6633","6633","6633","53","53","53","469","469","469","53","53","53","3469","3469","3469","53","53","53","6324","6324","6324","53","53","53","270","270","270","53","53","53","2292","2292","2292","53","53","53","5662","5662","5662"
"14","57","57","57","660","660","660","57","57","57","4079","4079","4079","57","57","57","6583","6583","6583","57","57","57","486","486","486","57","57","57","3408","3408","3408","57","57","57","6278","6278","6278","57","57","57","275","275","275","57","57","57","2325","2325","2325","57","57","57","5677","5677","5677"
"15","61","61","61","653","653","653","61","61","61","4036","4036","4036","61","61","61","6544","6544","6544","61","61","61","488","488","488","61","61","61","3370","3370","3370","61","61","61","6267","6267","6267","61","61","61","272","272","272","61","61","61","2275","2275","2275","61","61","61","5669","5669","5669"
"16","65","65","65","670","670","670","65","65","65","4115","4115","4115","65","65","65","6569","6569","6569","65","65","65","490","490","490","65","65","65","3416","3416","3416","65","65","65","6251","6251","6251","65","65","65","275","275","275","65","65","65","2269","2269","2269","65","65","65","5679","5679","5679"
"17","69","69","69","701","701","701","69","69","69","4104","4104","4104","69","69","69","6528","6528","6528","69","69","69","503","503","503","69","69","69","3405","3405","3405","69","69","69","6275","6275","6275","69","69","69","266","266","266","69","69","69","2310","2310","2310","69","69","69","5689","5689","5689"
"18","73","73","73","668","668","668","73","73","73","4034","4034","4034","73","73","73","6558","6558","6558","73","73","73","500","500","500","73","73","73","3332","3332","3332","73","73","73","6299","6299","6299","73","73","73","276","276","276","73","73","73","2295","2295","2295","73","73","73","5683","5683","5683"
"19","77","77","77","695","695","695","77","77","77","4098","4098","4098","77","77","77","6526","6526","6526","77","77","77","499","499","499","77","77","77","3450","3450","3450","77","77","77","6292","6292","6292","77","77","77","275","275","275","77","77","77","2267","2267","2267","77","77","77","5661","5661","5661"
"20","81","81","81","683","683","683","81","81","81","4095","4095","4095","81","81","81","6507","6507","6507","81","81","81","487","487","487","81","81","81","3356","3356","3356","81","81","81","6275","6275","6275","81","81","81","273","273","273","81","81","81","2316","2316","2316","81","81","81","5706","5706","5706"
"21","85","85","85","718","718","718","85","85","85","4024","4024","4024","85","85","85","6529","6529","6529","85","85","85","505","505","505","85","85","85","3453","3453","3453","85","85","85","6329","6329","6329","85","85","85","285","285","285","85","85","85","2288","2288","2288","85","85","85","5700","5700","5700"
"22","89","89","89","733","733","733","89","89","89","4110","4110","4110","89","89","89","6530","6530","6530","89","89","89","516","516","516","89","89","89","3397","3397","3397","89","89","89","6318","6318","6318","89","89","89","276","276","276","89","89","89","2293","2293","2293","89","89","89","5687","5687","5687"
"23","93","93","93","724","724","724","93","93","93","4126","4126","4126","93","93","93","6515","6515","6515","93","93","93","505","505","505","93","93","93","3414","3414","3414","93","93","93","6270","6270","6270","93","93","93","282","282","282","93","93","93","2305","2305","2305","93","93","93","5710","5710","5710"
"24","97","97","97","722","722","722","97","97","97","4007","4007","4007","97","97","97","6557","6557","6557","97","97","97","521","521","521","97","97","97","3355","3355","3355","97","97","97","6287","6287","6287","97","97","97","285","285","285","97","97","97","2307","2307","2307","97","97","97","5713","5713","5713"
"25","101","101","101","740","740","740","101","101","101","4101","4101","4101","101","101","101","6552","6552","6552","101","101","101","516","516","516","101","101","101","3450","3450","3450","101","101","101","6317","6317","6317","101","101","101","288","288","288","101","101","101","2270","2270","2270","101","101","101","5695","5695","5695"
"26","105","105","105","744","744","744","105","105","105","4119","4119","4119","105","105","105","6549","6549","6549","105","105","105","525","525","525","105","105","105","3427","3427","3427","105","105","105","6334","6334","6334","105","105","105","286","286","286","105","105","105","2346","2346","2346","105","105","105","5704","5704","5704"
"27","109","109","109","753","753","753","109","109","109","4104","4104","4104","109","109","109","6549","6549","6549","109","109","109","539","539","539","109","109","109","3410","3410","3410","109","109","109","6303","6303","6303","109","109","109","282","282","282","109","109","109","2291","2291","2291","109","109","109","5715","5715","5715"
"28","113","113","113","758","758","758","113","113","113","4096","4096","4096","113","113","113","6542","6542","6542","113","113","113","531","531","531","113","113","113","3432","3432","3432","113","113","113","6331","6331","6331","113","113","113","285","285","285","113","113","113","2261","2261","2261","113","113","113","5705","5705","5705"
"29","117","117","117","751","751","751","117","117","117","4129","4129","4129","117","117","117","6554","6554","6554","117","117","117","525","525","525","117","117","117","3410","3410","3410","117","117","117","6318","6318","6318","117","117","117","280","280","280","117","117","117","2323","2323","2323","117","117","117","5752","5752","5752"
"30","121","121","121","771","771","771","121","121","121","4096","4096","4096","121","121","121","6571","6571","6571","121","121","121","542","542","542","121","121","121","3452","3452","3452","121","121","121","6325","6325","6325","121","121","121","286","286","286","121","121","121","2297","2297","2297","121","121","121","5705","5705","5705"
"31","125","125","125","770","770","770","125","125","125","4143","4143","4143","125","125","125","6510","6510","6510","125","125","125","527","527","527","125","125","125","3444","3444","3444","125","125","125","6311","6311","6311","125","125","125","287","287","287","125","125","125","2273","2273","2273","125","125","125","5745","5745","5745"
"32","129","129","129","759","759","759","129","129","129","4126","4126","4126","129","129","129","6557","6557","6557","129","129","129","538","538","538","129","129","129","3444","3444","3444","129","129","129","6327","6327","6327","129","129","129","292","292","292","129","129","129","2314","2314","2314","129","129","129","5731","5731","5731"
"33","133","133","133","769","769","769","133","133","133","4139","4139","4139","133","133","133","6594","6594","6594","133","133","133","552","552","552","133","133","133","3417","3417","3417","133","133","133","6337","6337","6337","133","133","133","287","287","287","133","133","133","2315","2315","2315","133","133","133","5726","5726","5726"
"34","137","137","137","750","750","750","137","137","137","4063","4063","4063","137","137","137","6549","6549","6549","137","137","137","531","531","531","137","137","137","3417","3417","3417","137","137","137","6324","6324","6324","137","137","137","292","292","292","137","137","137","2325","2325","2325","137","137","137","5719","5719","5719"
"35","141","141","141","786","786","786","141","141","141","4169","4169","4169","141","141","141","6600","6600","6600","141","141","141","547","547","547","141","141","141","3478","3478","3478","141","141","141","6335","6335","6335","141","141","141","289","289","289","141","141","141","2297","2297","2297","141","141","141","5733","5733","5733"
"36","145","145","145","754","754","754","145","145","145","4118","4118","4118","145","145","145","6580","6580","6580","145","145","145","542","542","542","145","145","145","3431","3431","3431","145","145","145","6333","6333","6333","145","145","145","294","294","294","145","145","145","2293","2293","2293","145","145","145","5724","5724","5724"
